row_number,test_short_name,test_full_name,date_sample_submitted,client_name,client_type,sample_type,site,sample_description_number_1,sample_description_number_2,sample_description_number_3,sample_description_number_4,analytical_company_name,lab_number,measurement_name,measurement_result
4061,S001,Standard Soil Test,2010-08-25T00:00:00Z,MCC,Golf,Soil,MCC,TEE,16,NA,NA,"Soil Horizons, Inc.",189,Manganese (ppm),30
4062,S001,Standard Soil Test,2010-08-25T00:00:00Z,MCC,Golf,Soil,MCC,TEE,16,NA,NA,"Soil Horizons, Inc.",189,Copper (ppm),4.27
4063,S001,Standard Soil Test,2010-08-25T00:00:00Z,MCC,Golf,Soil,MCC,TEE,16,NA,NA,"Soil Horizons, Inc.",189,Zinc (ppm),9.26
4064,S001,Standard Soil Test,2010-08-25T00:00:00Z,MCC,Golf,Soil,MCC,TEE,16,NA,NA,"Soil Horizons, Inc.",189,Aluminum (ppm),103
4065,IA050,Alkalinity - Bicarbonate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,"NA",SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Bicarbonate (ppm),60
4066,IA110,Alkalinity - Carbonate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Carbonate (ppm),NA
4067,IA260,Dissolved Oxygen,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Dissolved Oxygen (ppm),8.45
4068,IA270,Conductivity,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Conductivity (umhos/cm),222.8
4069,IA460,Nitrogen - Ammonia,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Ammonia (ppm),NA
4070,IA490,Nitrogen - Nitrate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Total Nitrogen (ppm),0.35
4071,IA590,pH,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,pH,7.89
4072,IA647,Phosphorus - Total,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Phosphate (ppm),NA
4073,IA870,Total Suspended Solids (TDS),2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Total Suspended Solids (TSS) (ppm),NA
4074,IB070,Calcium,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Calcium (ppm),28.91
4075,IB240,Sodium,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,ENTRY,NA,NA,"Soil Horizons, Inc.",WE0509009,Sodium (ppm),3.559
4076,IA050,Alkalinity - Bicarbonate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,"NA",SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Bicarbonate (ppm),138
4077,IA110,Alkalinity - Carbonate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Carbonate (ppm),NA
4078,IA260,Dissolved Oxygen,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Dissolved Oxygen (ppm),8.62
4079,IA270,Conductivity,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Conductivity (umhos/cm),409
4080,IA460,Nitrogen - Ammonia,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Ammonia (ppm),NA
4081,IA490,Nitrogen - Nitrate,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Total Nitrogen (ppm),0.11
4082,IA590,pH,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,pH,8.29
4083,IA647,Phosphorus - Total,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Phosphate (ppm),NA
4084,IA870,Total Suspended Solids (TDS),2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Total Suspended Solids (TSS) (ppm),NA
4085,IB070,Calcium,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Calcium (ppm),65.33
4086,IB240,Sodium,2011-05-04T00:00:00Z,MCC,Golf,Environmental,MCC,SOURCE,EXIT,NA,NA,"Soil Horizons, Inc.",WE0509010,Sodium (ppm),4.555
4087,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Total Exchange Capacity (meq/100g),14.1
4088,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,pH,7.7
4089,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Organic Matter (%),4.49
4090,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Estimated Nitrogen Release (lbs N/1000),2.18
4091,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Sulfur (ppm),60
4092,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Phosphorus (ppm),80
4093,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Bray II P (ppm),145
4094,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Calcium (ppm),2265
4095,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Magnesium (ppm),195
4096,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Potassium (ppm),142
4097,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Sodium (ppm),44
4098,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Calcium (%),80.32
4099,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Magnesium (%),11.52
4100,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Potassium (%),3.11
4101,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Sodium (%),1.36
4102,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Other Bases (%),3.7
4103,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Hydrogen (%),0
4104,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Boron (ppm),0.77
4105,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Iron (ppm),369
4106,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Manganese (ppm),63
4107,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Copper (ppm),5.93
4108,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Zinc (ppm),10.71
4109,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Aluminum (ppm),283
4110,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Soluble Salts (mmhos/cm),0.25
4111,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Total Nitrogen (ppm),1.2
4112,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,FAIRWAY,18,NA,NA,"Soil Horizons, Inc.",644,Ammonium (ppm),3.6
4113,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Total Exchange Capacity (meq/100g),3.38
4114,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,pH,7.2
4115,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Organic Matter (%),0.53
4116,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Estimated Nitrogen Release (lbs N/1000),0.48
4117,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Sulfur (ppm),6
4118,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Phosphorus (ppm),25
4119,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Bray II P (ppm),37
4120,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Calcium (ppm),490
4121,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Magnesium (ppm),67
4122,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Potassium (ppm),44
4123,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Sodium (ppm),20
4124,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Calcium (%),72.49
4125,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Magnesium (%),16.52
4126,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Potassium (%),4.1
4127,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Sodium (%),2.57
4128,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Other Bases (%),4.2
4129,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Hydrogen (%),0
4130,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Boron (ppm),0.2
4131,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Iron (ppm),67
4132,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Manganese (ppm),17
4133,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Copper (ppm),8.48
4134,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Zinc (ppm),4.83
4135,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Aluminum (ppm),130
4136,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Soluble Salts (mmhos/cm),0.03
4137,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Total Nitrogen (ppm),NA
4138,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG2,NA,NA,"Soil Horizons, Inc.",642,Ammonium (ppm),5.4
4139,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Total Exchange Capacity (meq/100g),2.96
4140,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,pH,7.2
4141,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Organic Matter (%),0.77
4142,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Estimated Nitrogen Release (lbs N/1000),0.71
4143,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Sulfur (ppm),5
4144,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Phosphorus (ppm),51
4145,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Bray II P (ppm),44
4146,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Calcium (ppm),420
4147,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Magnesium (ppm),64
4148,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Potassium (ppm),36
4149,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Sodium (ppm),20
4150,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Calcium (%),70.95
4151,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Magnesium (%),18.02
4152,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Potassium (%),3.81
4153,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Sodium (%),2.94
4154,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Other Bases (%),4.2
4155,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Hydrogen (%),0
4156,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Boron (ppm),NA
4157,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Iron (ppm),71
4158,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Manganese (ppm),12
4159,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Copper (ppm),6.95
4160,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Zinc (ppm),3.54
4161,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Aluminum (ppm),127
4162,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Soluble Salts (mmhos/cm),0.03
4163,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Total Nitrogen (ppm),0.7
4164,S005,Standard Soil Test w Soluble Salts and Available N,2014-07-08T00:00:00Z,MCC,Golf,Soil,MCC,GREEN,PG4,NA,NA,"Soil Horizons, Inc.",643,Ammonium (ppm),3.7
4165,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,pH,7.82
4166,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Hardness (ppm),137.86
4167,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Hardness (grains/gal),8.06
4168,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Conductivity (mmhos/cm),0.28
4169,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,SAR,0.08
4170,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Adjusted SAR,0.12
4171,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,pHc,7.84
4172,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Residual Sodium Carbonate (RSC),-0.93
4173,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Calcium (ppm),47.95
4174,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Calcium (mEq/L),2.39
4175,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Calcium (lbs/ac in),10.88
4176,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Magnesium (ppm),4.36
4177,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Magnesium (mEq/L),0.36
4178,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Magnesium (lbs/ac in),0.99
4179,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Potassium (ppm),2.98
4180,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Potassium (mEq/L),0.08
4181,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Potassium (lbs/ac in),0.68
4182,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sodium (ppm),2.06
4183,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sodium (mEq/L),0.09
4184,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sodium (lbs/ac in),0.47
4185,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Iron (ppm),NA
4186,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Total Alkalinity-CaCO3 (ppm),90.86
4187,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Total Alkalinity-CaCO3 (lbs/ac in),20.61
4188,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Carbonate (ppm),0
4189,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Bicarbonate (ppm),110.87
4190,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Bicarbonate (mEq/L),1.82
4191,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Bicarbonate (lbs/ac in),23.15
4192,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Hydroxide (ppm),0
4193,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Chloride (ppm),NA
4194,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sulfate (ppm),60.54
4195,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sulfate (mEq/L),1.26
4196,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Sulfate (lbs/ac in),13.73
4197,W004,Standard Irrigation Water Analysis,2014-08-19T00:00:00Z,MCC,Golf,Water,MCC,IRRIGATION,16,NA,NA,"Soil Horizons, Inc.",1966,Salt Concentration - TDS (ppm),181.76
